SITE,TRANSECT,LINK,REP,DATE_,JULIAN,nad84_2N_x,nad84_2N_y,OLD_WP,NEW_WP,TYPE,wgs84_x,wgs84_y
HALL,1,H1.0,1,21/06/2003,172,385142,6728394,H01STX,H01NS172038,B/E,-173.10242796100,60.67471243500
HALL,1,H1.0,1,21/06/2003,172,386926,6730156,1X,H01NS172001,S,-173.07081416900,60.69103026600
HALL,2,H2.0,1,21/06/2003,172,384410,6726927,H02STX,H02CB172001,S,-173.11495227300,60.66133929300
HALL,2,H2.0,1,21/06/2003,172,385269,6727628,52X,H02CB172016,B/E,-173.09965732800,60.66787609100
HALL,3,H3.0,1,22/06/2003,172,384597,6726619,H03STX,H03CB172001,S,-173.11135252700,60.65862980600
HALL,3,H3.0,1,22/06/2003,172,385427,6727379,50X,H03CB172013,B/E,-173.09662280000,60.66568725800
HALL,4,H4.0,1,21/06/2003,172,385109,6726187,H04STX,H04NS172040,E,-173.10174011000,60.65490106700
HALL,4,H4.0,1,21/06/2003,172,387116,6728161,H04NTX,H04NS172001,S,-173.06618883400,60.67318385300
HALL,5,H5.0,1,21/06/2003,172,385409,6725778,H05STX,H05NS172044,E,-173.09601797700,60.65131736500
HALL,5,H5.0,1,21/06/2003,172,387236,6727639,H05NTX,H05NS172001,S,-173.06369416800,60.66853404500
HALL,6,H6.0,1,21/06/2003,172,385783,6725411,H06STX,H06SN172001,S,-173.08896918500,60.64813136800
HALL,6,H6.0,1,21/06/2003,172,387222,6726946,H06NTX,H06SN172029,E,-173.06355211600,60.66231213500
HALL,7,H7.0,1,21/06/2003,172,385975,6724935,H07STX,H07NS172021,E,-173.08518431200,60.64391521300
HALL,7,H7.0,1,21/06/2003,172,387414,6726376,H07NTX,H07NS172001,S,-173.05971497700,60.65725184200
HALL,8,H8.0,1,22/06/2003,172,386293,6724550,H08STX,H08SN172001,S,-173.07915097700,60.64055123000
HALL,8,H8.0,1,22/06/2003,172,387237,6725499,H08NTX,H08SN172012,E,-173.06244737300,60.64933308500
HALL,9,H9.0,1,21/06/2003,172,386561,6724120,H09STX,H09NS172015,E,-173.07400640600,60.63676904700
HALL,9,H9.0,1,21/06/2003,172,387395,6724928,H09NTX,H09NS172001,S,-173.05923270700,60.64425421100
HALL,10,H10.0,1,21/06/2003,172,387695,6724553,H10NTX,H10SN172020,E,-173.05353658500,60.64097372400
HALL,11,H11.0,1,21/06/2003,172,387276,6723410,H11STX,H11NS172013,E,-173.06053742300,60.63060034900
HALL,11,H11.0,1,21/06/2003,172,387987,6724107,H11NTX,H11NS172001,S,-173.04794735300,60.63705369200
HALL,12,H12.0,1,21/06/2003,172,387699,6723098,H12STX,H12SN172001,S,-173.05263311100,60.62791966600
HALL,12,H12.0,1,21/06/2003,172,388209,6723631,H12NTX,H12SN172009,E,-173.04362113700,60.63284471100
STMA,2,M2.1,1,19/06/2003,170,387799,6712632,M02STX,02BC170025,E,-173.04486174900,60.53403904600
